"Date","Bitfinex Net Flows","Binance Net Flows","Adjusted Transaction Volume (Native Units)","Average Transfer Value (Native Units)","Median Transfer Value","Median Transfer Value (Native Units)","Transactions per Second Count","Telegram Users"
"2017-11-24","16400947.294479895","4703176.452219732","4418604.38546388","39.5498938416218","167.0951447926556","0.3529305","6.08251157407407",""
"2017-11-23","17358812.02532825","412485.2269054774","4824071.27711363","46.9406791266307","206.05597371631148","0.496544083746162","6.21606481481481",""
"2017-11-22","-22259666.19640198","-2257308.770918253","4818224.62587826","47.4554861778171","129.27856643275138","0.339475","6.32510416666667",""
"2017-11-21","-28796931.06795918","-163063.0236376597","4867810.47946296","47.6410606168855","179.15377476095873","0.496","6.06532407407407",""
"2017-11-20","-20074835.220796347","-1347833.8205224397","5113598.37556339","52.8954680289054","135.62712189577906","0.36699668","6.1358912037037",""
"2017-11-19","-13157507.828744186","-2278732.293683351","3618796.26075643","43.0015245081525","120.9911515721203","0.33992729","5.37688657407407",""
"2017-11-18","14846429.055818241","2488372.4653564454","3231708.61630794","45.1739310216292","107.72893448136635","0.310073929205974","5.3203587962963",""
"2017-11-17","-3636212.2415147168","1028256.7214181621","3908531.26150044","46.9972774577398","139.39786077629395","0.41952357","5.88645833333333",""
"2017-11-16","-6841407.363993388","-667657.4374047082","3828040.31094402","50.283706430834","140.75958624672","0.426981455","5.68844907407407",""
"2017-11-15","1966513.8130924387","-1122719.7812955389","4210608.55609923","46.7306642284756","165.3920469023965","0.5","6.25686342592593",""
"2017-11-14","-1450305.1700557168","508077.96916131134","3393805.24814818","37.6044905700792","166.98061229804827","0.49962112","5.50907407407407",""
"2017-11-13","-2206354.6926885387","2383004.0403336873","3230399.10051805","40.7389235474773","125.20509760187026","0.3968","5.12935185185185",""
"2017-11-12","15985259.126524968","725054.7728418376","4427882.66677196","58.3296436771139","215.02379580272637","0.700000075","5.0275462962963",""
"2017-11-11","2753609.326518093","521247.143173315","3248279.66572581","52.2337467602713","119.34904171595458","0.37751024","4.56456018518519",""
"2017-11-10","-12467610.192394897","-271343.8042369746","3653475.59454167","48.2133469976411","124.92213052329835","0.41687367459","5.29429398148148",""
"2017-11-09","13321204.850351611","-330539.0189555687","4442434.98266096","64.8906643113702","140.24512268426517","0.439026653819167","5.40708333333333",""
"2017-11-08","-5946375.89705348","624393.6725052288","3532250.84280154","41.7736678648674","132.59344959162544","0.427959405351789","5.56033564814815",""
"2017-11-07","-1701272.189304488","-529412.3013087413","2412895.10783911","32.2790280556797","84.43627213550916","0.289106832407412","5.44465277777778",""
"2017-11-06","4974769.365343158","81742.66707482815","2540859.24255734","39.48696811252","68.909565314509","0.23125","5.92202546296296",""
"2017-11-05","10139230.862677466","-522602.50199463265","1899423.48934369","37.6076326603211","69.55629315789442","0.23474272","4.82756944444444",""
"2017-11-04","11955184.105098741","-50396.250396028474","1979597.00754066","37.3036767978908","75.69257424576541","0.252277584293702","4.61525462962963",""
"2017-11-03","19401755.728709623","1140550.2439320006","2936160.12670971","45.2496217182589","76.39420247831114","0.249769","5.62256944444444",""
"2017-11-02","10519490.446393004","-500772.11329046957","3668276.58681364","50.5619303343319","100.02711543260862","0.35158035","6.1258912037037",""
"2017-11-01","4835918.082423943","1099267.0414015276","3097925.09623864","47.2867989835534","69.08925599997802","0.237812284168633","6.10859953703704",""
"2017-10-31","2039026.63649247","-772655.4944421576","2489364.45371014","40.6258373513243","71.78832642447252","0.235557853415135","6.01743055555556",""
"2017-10-30","-969345.6077951412","-773344.1197488325","2715726.33260223","41.6780595540958","76.08449816677656","0.248514769288484","6.16465277777778",""
"2017-10-29","1531433.0110366936","1157469.9107610316","2423618.48066665","47.8068307066378","63.80553697832496","0.20965432070028","5.71962962962963",""
"2017-10-28","3372531.229608684","-2210413.0696575805","2483278.49079765","52.6326646959442","59.85827464045347","0.202867783793261","5.60826388888889",""
"2017-10-27","4066083.3393385992","1602773.4316377616","2542157.97052012","42.5164718567235","63.212678433321535","0.212782866080734","5.62670138888889",""
"2017-10-26","-5357884.082771076","-5224.092957840896","2433872.52213892","38.3381439913951","59.74526660231673","0.201748926491786","5.39821759259259",""
"2017-10-25","2212795.6943552354","1007574.7399365554","2785832.40776561","41.3779192098078","64.43658369551869","0.21625629","5.32892361111111",""
"2017-10-24","2066722.5908328206","-168898.10003879067","3271952.81310185","46.4890593945894","96.42449776490503","0.32444166","5.69777777777778",""
"2017-10-23","4957220.379213088","-1260819.5492660843","3723373.56029633","46.4622530452073","77.43178150376134","0.27143115","5.41861111111111",""
"2017-10-22","-8465124.056040322","269992.06535167515","2517679.51022431","34.3273985986977","37.26428569876775","0.126378524918718","5.04042824074074",""
"2017-10-21","5670073.653270975","1570194.5600124472","2402939.42721958","41.1856069462246","61.694003852714054","0.205671024659616","5.35766203703704",""
"2017-10-20","-4981194.557573929","-2120942.2315409","2930025.7709686","43.4042833311936","63.835219510841306","0.20991188","6.32913194444444",""
"2017-10-19","-6825547.54874604","825644.8670167348","2939876.23502039","48.7784740555945","66.15943004505208","0.214551741033731","5.71972222222222",""
"2017-10-18","-16385036.077577606","-2095492.5718143445","3581391.51736676","54.7177403522117","77.84127040841965","0.248461632961423","5.44501157407407",""
