"Date","Price (Close)","Price (Open)","Real Volume","Volatility","Active Addresses Count","Transaction Volume","Adjusted Transaction Volume","Transactions Count","Transactions per Second Count","Twitter Followers"
"2020-02-20","257.3504323694238","258.6977209131908","1020587781.3559092","0.8082668170880534","317504","726512329.0233384","584120560.0226809","689600","7.98148148",""
"2019-06-12","262.477861063444","245.40805339945095","813183484.591927","1.019196265492617","480717","695626095.9235284","582933715.8541967","860682","9.96159722",""
"2019-05-24","249.7702337219183","245.7065762206927","940326852.0444418","1.0042957123527771","350611","683224246.3123947","580176294.906388","904057","10.4636226851852",""
"2018-08-09","363.368050118949","355.13739402899284","372184720.3826071","0.6734770411093477","284548","648210003.732036","579805386.4773309","538530","6.23298611111111",""
"2019-05-26","267.51503495239166","251.5594876481979","1023808706.9190813","0.9532455162827836","319134","699400425.8946779","578420289.6497118","763094","8.83210648148148",""
"2017-05-29","194.09702803925643","169.7540616210567","219442278.4996192","1.6676298758620742","85386","2139405577.8566995","577882347.3825666","158547","1.83503472222222",""
"2020-07-17","232.67349218759162","233.59802785889642","283611992.27064514","0.4422150612654461","475009","808681926.087879","575706403.4208326","1078101","12.47802083",""
"2019-07-03","302.1877378186109","291.33624761869487","903009196.7806863","0.8963198226170883","370570","685252843.4700668","575135819.6716839","753227","8.71790509",""
"2018-08-17","317.5353128317428","286.7399052862586","564013278.0287322","0.7807601532375694","312809","646577486.4548068","572686980.72217","607270","7.02858796296296",""
"2019-07-17","211.4075051461712","198.3392167528715","992830471.6205274","1.1450174601625773","312639","674529647.683202","571547607.3822851","830029","9.60681713",""
"2019-06-23","307.0771650617581","309.2931598748548","1165306469.2676558","0.7440612795353234","339193","706382371.929505","571249756.1537312","773499","8.95253472",""
"2020-04-29","215.54484084100963","196.9829524607408","1265550202.787651","1.0506603148680342","427482","726841715.9837154","568177364.8298355","897881","10.3921412",""
"2019-05-19","260.93648898755185","234.20305759847724","1451664615.4838688","0.9846104632885635","330704","676088839.3436041","565843593.2034428","752431","8.70869212962963",""
"2020-06-11","230.1886702580995","247.92819019468422","1007177351.2095432","0.7247588336552858","409839","730146963.2239084","565296255.7636998","925331","10.70984954",""
"2018-03-31","393.46227375380687","393.44611696304656","548726023.4474157","0.8639936809623865","273912","661166934.6041399","565168789.6277587","584396","6.76384259259259",""
"2020-03-10","200.70974061652765","203.2629328406934","832472123.311315","1.0796527469226493","326753","725439902.1883743","565000484.4267493","760588","8.80310185",""
"2017-09-30","302.86321430698325","292.37929785106905","124665522.35015102","1.385220028705097","150248","1985512302.443604","564624891.3027982","295798","3.42358796296296",""
"2020-07-03","224.9471307947388","226.42642436999657","282565706.31506383","0.4542494128186192","506616","784601915.128887","564519088.6044536","1022098","11.82983796",""
"2018-06-23","474.078589276741","462.25808498503227","291777788.8640857","0.9870784953038725","340250","652876747.7079943","563935904.3487798","675918","7.823125",""
"2020-06-30","226.06892183826918","227.7399388477929","272670813.83125657","0.5403029971795759","512942","742239979.2280068","562831222.3861613","1111318","12.86247685",""
"2017-11-05","295.30092409653184","299.78807635920015","151969842.2369066","0.6171899596386272","168183","2423146684.690368","562815566.999396","417102","4.82756944444444",""
"2020-06-21","227.86562744161836","228.76516238524732","223064234.34906092","0.654047679303777","470005","829998773.4276323","561220147.3104267","987058","11.42428241",""
"2019-10-28","182.02926748788798","184.19691979554074","405795666.6730989","0.7345696519089782","290065","620227670.4729252","557884405.5158488","721335","8.34878472",""
"2020-03-19","136.7904093178245","118.63768952974745","1070937844.0637429","2.0479911498078964","465615","701683886.9075065","557515102.7059168","864017","10.00019676",""
"2018-10-11","188.93104393774576","224.78572991324432","899851450.1962787","1.1149686263339575","276591","645616286.0412247","557280714.3601851","570525","6.60329861111111",""
"2019-01-04","154.2189932403744","147.7616981277763","736127631.7109224","1.4149579520688733","264923","637329989.9728161","554941634.8930064","549398","6.35877314814815",""
"2019-09-24","166.38063475220721","200.73555528016155","1458190483.4062195","0.8062191372518344","296761","669189272.7755405","553746875.5122814","709522","8.21206019",""
"2019-06-16","268.3329158594978","269.02497986317474","938318823.7865998","0.8178788605873135","443504","677733352.4100064","553713727.8703183","888979","10.2891088",""
